sample	resolution	chrom	eigval1	eigval2	eigval3
HIC_ES_4	250000	chr1	217.37192985882825	106.30665106836362	-99.03947177210624
HIC_ES_4	250000	chr10	142.57814361566207	-81.94256897558293	72.2595450691952
HIC_ES_4	250000	chr11	193.4115234104989	-104.63373540482301	73.82727082252077
HIC_ES_4	250000	chr12	129.99125758132428	65.17389035636864	-63.741574739017935
HIC_ES_4	250000	chr13	100.7430231013653	-62.420995811940024	60.42706200238849
HIC_ES_4	250000	chr14	119.83196768673787	-86.27919679397462	72.54804600744085
HIC_ES_4	250000	chr15	124.5800767134204	68.0432932529258	-59.73764098661196
HIC_ES_4	250000	chr16	105.69617822087967	-66.6589555846226	57.194169433514375
HIC_ES_4	500000	chr1	99.13667734060417	51.81533468620807	-47.21877970420783
HIC_ES_4	500000	chr10	66.59181811793138	-39.62570244149256	33.67062669108942
HIC_ES_4	500000	chr11	90.67380650971026	-50.54725889057199	33.8597983862236
HIC_ES_4	500000	chr12	58.956052829243326	31.443704945139334	-29.562935097486022
HIC_ES_4	500000	chr13	47.22678011799135	-30.63258782628069	27.568927739948254
HIC_ES_4	500000	chr14	55.787879332665085	-43.00835561924044	33.78167274090778
HIC_ES_4	500000	chr15	59.31347796361848	30.86266438756835	-29.11000498120422
