sample	peak_id	chr	start	end	strand	peak_score	annotation_class	annotation	distance_to_tss	nearest_promoter_id	gene_name	gene_type
EZH2_IP_NTKO_R1	EZH2_IP_NTKO_R1_peak_1	chr1	805179	805388	+	119.0	intron	intron (FAM41C, intron 2 of 2)	6899	FAM41C	FAM41C
EZH2_IP_NTKO_R1	EZH2_IP_NTKO_R1_peak_6641	chr16	85451729	85452984	+	107.0	Intergenic	Intergenic	-112425	MIR5093	MIR5093
EZH2_IP_NTKO_R1	EZH2_IP_NTKO_R1_peak_13282	chr20	62732677	62735044	+	695.0	Intergenic	Intergenic	4324	NPBWR2	NPBWR2
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_402	chr1	1955670	1956163	+	94.0	intron	intron (GABRD, intron 1 of 8)	5148	GABRD	GABRD
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_7043	chr1	147064899	147065024	+	89.0	intron	intron (BCL9, intron 1 of 9)	51690	BCL9	BCL9
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_13684	chr11	64393153	64393320	+	61.0	intron	intron (NRXN2, intron 17 of 19)	17551	NRXN2	NRXN2
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_20324	chr16	1107321	1107749	+	421.0	Intergenic	Intergenic	-15221	SSTR5	SSTR5
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_26965	chr17	72370454	72370674	+	52.0	Intergenic	Intergenic	6919	GPR142	GPR142
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_33606	chr19	41883390	41883535	+	39.0	intron	intron (TMEM91, intron 1 of 3)	-13384	B9D2	B9D2
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_40246	chr20	59989046	59989379	+	59.0	intron	intron (CDH4, intron 2 of 15)	161730	CDH4	CDH4
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_46887	chr3	142839231	142839534	+	76.0	exon	exon (CHST2, exon 1 of 2)	764	CHST2	CHST2
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_53528	chr6	49886494	49886639	+	49.0	Intergenic	Intergenic	30591	DEFB133	DEFB133
EZH2_IP_NTKO_R2	EZH2_IP_NTKO_R2_peak_60168	chr8	143207911	143208132	+	145.0	Intergenic	Intergenic	-49679	MIR4472-1	MIR4472-1
EZH2_IP_TKO_R1	EZH2_IP_TKO_R1_peak_805	chr1	21913242	21913339	+	49.0	Intergenic	Intergenic	77432	ALPL	ALPL
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_587	chr1	2422788	2423782	+	108.0	intron	intron (PLCH2, intron 11 of 21)	15531	PLCH2	PLCH2
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_7228	chr1	220702629	220702799	+	121.0	intron	intron (MARK1, intron 1 of 17)	1189	MARK1	MARK1
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_13869	chr12	68495727	68495845	+	32.0	Intergenic	Intergenic	57735	IFNG	IFNG
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_20509	chr17	47117	48557	+	274.0	Intergenic	Intergenic	-10795	LOC100506371	LOC100506371
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_27150	chr19	45990889	45991029	+	155.0	intron	intron (RTN2, intron 5 of 6)	5544	RTN2	RTN2
EZH2_IP_TKO_R2	EZH2_IP_TKO_R2_peak_33791	chr21	32583401	32583527	+	36.0	intron	intron (TIAM1, intron 11 of 28)	-172669	KRTAP19-8	KRTAP19-8
