chromosome	position	end	value	sample	stage	sample_stage	n_targets
chr1	0	1000000	170.52312269372695	NA12878_200M	md	NA12878_200M (md)	87
chr1	1000000	2000000	171.55026459845175	NA12878_200M	md	NA12878_200M (md)	380
chr1	2000000	3000000	157.20412835536177	NA12878_200M	md	NA12878_200M (md)	166
chr1	3000000	4000000	153.68243446864162	NA12878_200M	md	NA12878_200M (md)	158
chr1	0	1000000	170.52312269372695	NA12878_200M	recal	NA12878_200M (recal)	87
chr1	1000000	2000000	171.55026459845175	NA12878_200M	recal	NA12878_200M (recal)	380
chr1	2000000	3000000	157.20412835536177	NA12878_200M	recal	NA12878_200M (recal)	166
chr1	3000000	4000000	153.68243446864162	NA12878_200M	recal	NA12878_200M (recal)	158
chr1	0	1000000	70.44726769540422	NA12878_75M	md	NA12878_75M (md)	87
chr1	1000000	2000000	71.14241394010445	NA12878_75M	md	NA12878_75M (md)	380
chr1	2000000	3000000	65.6035759640278	NA12878_75M	md	NA12878_75M (md)	166
chr1	3000000	4000000	64.02587422528003	NA12878_75M	md	NA12878_75M (md)	158
chr1	0	1000000	70.44726769540422	NA12878_75M	recal	NA12878_75M (recal)	87
chr1	1000000	2000000	71.14241394010445	NA12878_75M	recal	NA12878_75M (recal)	380
chr1	2000000	3000000	65.6035759640278	NA12878_75M	recal	NA12878_75M (recal)	166
chr1	3000000	4000000	64.02587422528003	NA12878_75M	recal	NA12878_75M (recal)	158
