window_id	chromosome	window_variance	SRR7961102_GSM3415666_MShef11_low_oxygen_Q1	SRR7961103_GSM3415667_MShef11_low_oxygen_Q2	SRR7961104_GSM3415668_MShef11_low_oxygen_Q3	SRR7961150_GSM3415714_MShef4_bulk	SRR7961161_GSM3415725_MShef4_J1	SRR7961163_GSM3415727_MShef4_J2	SRR7961164_GSM3415728_MShef4_J3
chr1:153940000-153950000	chr1	1074.6330941252434	100.0	37.2093023255814	68.0952380952381	47.74208634502752	87.10462287104623	14.285714285714286	97.91666666666667
chr17:64770000-64780000	chr17	1009.6592358856265	95.45454545454545	95.28985507246378	36.320754716981135	22.589390262988907	46.90799396681752	93.56060606060605	87.90322580645162
chr5:177130000-177140000	chr5	933.8336138372742	90.9090909090909	23.529411764705884	38.73456790123457	23.05732492040984	51.262626262626256	100.0	55.1948051948052
chr4:15000000-15010000	chr4	892.2364732513461	84.16666666666667	84.78260869565217	32.27513227513227	5.656379862388445	41.78531073446327	76.94444444444444	57.93650793650794
chr1:115830000-115840000	chr1	869.1760755199994	90.47619047619048	92.85714285714286	37.32638888888889	20.2961469778408	46.20758483033932	52.51141552511416	89.70588235294117
chr10:96510000-96520000	chr10	830.2440064916915	90.47619047619048	23.28767123287671	42.77153558052434	15.549534409424519	51.01010101010101	85.71428571428571	63.63636363636363
chrX:36980000-36990000	chrX	826.0375788434649	94.44444444444444	24.390243902439025	40.78947368421053	42.26897689768976	65.18361581920904	85.41666666666667	95.45454545454545
chr18:57800000-57810000	chr18	798.9238820865717	81.94444444444444	30.952380952380953	56.17283950617284	28.03948796301738	57.719298245614034	97.05882352941177	93.8888888888889
chr18:35580000-35590000	chr18	797.3338248156973	89.50617283950618	76.08695652173913	45.49180327868853	26.912772524555006	45.40229885057472	96.66666666666667	95.0
chr16:1770000-1780000	chr16	793.5842731358501	51.282051282051285	14.583333333333334	93.75	41.14544341360786	57.46031746031747	45.714285714285715	91.66666666666667
chr9:133990000-134000000	chr9	781.3754586446454	82.5	10.714285714285714	66.47727272727273	21.36458187156283	73.4375	63.84180790960452	72.14285714285714
chr8:52710000-52720000	chr8	763.1100291096694	87.28070175438597	90.69767441860465	38.095238095238095	25.769370152931803	64.06654052349415	94.3452380952381	85.86309523809526
