sample	chromosome	read_count	fraction_of_reads	log10_read_count
GM12878_FAST_R1	chr1	710493	0.09331914990867636	5.851560414736544
GM12878_FAST_R1	chr14	228335	0.029990482797715975	5.358574388795488
GM12878_FAST_R1	chr19	194511	0.025547895852438444	5.288946399353358
GM12878_FAST_R1	chr2	690902	0.090745985266856	5.839417078456968
GM12878_FAST_R1	chr21	79407	0.010429650590221528	4.899864257853247
GM12878_FAST_R1	chr22	112973	0.014838350726372948	5.052978505821748
GM12878_FAST_R1	chr3	567622	0.07455386965031703	5.754059984690139
GM12878_FAST_R1	chr8	385776	0.05066944836215069	5.586336331470533
GM12878_FAST_R2	chr1	1195583	0.0941939804337507	6.077580094424949
GM12878_FAST_R2	chr14	389161	0.030660040850011127	5.590130426673346
GM12878_FAST_R2	chr19	354584	0.02793589266334588	5.549720359705349
GM12878_FAST_R2	chr2	1121165	0.08833095993586902	6.04966991905946
GM12878_FAST_R2	chr21	133242	0.010497468047767333	5.124644402379828
GM12878_FAST_R2	chr22	214415	0.016892681072499905	5.331257189847425
GM12878_FAST_R2	chr3	922039	0.07264282239305432	5.964749762054127
GM12878_FAST_R2	chr8	627371	0.04942741047564461	5.7975251319631775
GM12878_OMNI_R1	chr1	5509134	0.09654470709453152	6.741083414783322
GM12878_OMNI_R1	chr14	1935553	0.033919559308403416	6.286805292201022
GM12878_OMNI_R1	chr19	2197949	0.03851791269076382	6.342017808664777
GM12878_OMNI_R1	chr2	4753575	0.08330392871672529	6.677020441785851
GM12878_OMNI_R1	chr21	676753	0.01185974422846594	5.8304308313768525
GM12878_OMNI_R1	chr22	1088963	0.01908351001659831	6.037013522676089
GM12878_OMNI_R1	chr3	3868523	0.06779385288567283	6.587545295528693
GM12878_OMNI_R1	chr8	2536085	0.04444357016762252	6.40416397661197
GM12878_OMNI_R2	chr1	4518453	0.09659070285201313	6.654989865315852
GM12878_OMNI_R2	chr14	1587456	0.03393495313255341	6.200701970237623
GM12878_OMNI_R2	chr19	1831488	0.0391516107802887	6.262804314617463
GM12878_OMNI_R2	chr2	3888851	0.08313173809194299	6.58982141529804
GM12878_OMNI_R2	chr21	557443	0.01191642607988503	5.7462012453299804
GM12878_OMNI_R2	chr22	905879	0.019364921867922227	5.957070671419109
GM12878_OMNI_R2	chr3	3164180	0.06764048893510298	6.5002613183948235
GM12878_OMNI_R2	chr8	2071379	0.044279746515654826	6.316259778644506
GM12878_STD_R1	chr1	581814	0.09150631689803251	5.764784913771219
GM12878_STD_R1	chr14	188108	0.02958517715121173	5.274409574693556
GM12878_STD_R1	chr19	157138	0.024714289488948417	5.196283985057674
GM12878_STD_R1	chr2	586777	0.09228688568937295	5.7684738225234735
GM12878_STD_R1	chr21	71757	0.011285769647433922	4.8558703257848075
GM12878_STD_R1	chr22	74684	0.011746121219518025	4.87323338533114
GM12878_STD_R1	chr3	476050	0.07487200747886504	5.677653481779541
GM12878_STD_R1	chr8	341484	0.05370778826155393	5.533371631706272
GM12878_STD_R2	chr1	570532	0.09344163329106722	5.756280769356191
GM12878_STD_R2	chr14	180631	0.02958371425791851	5.256794690564108
GM12878_STD_R2	chr19	154341	0.02527794255848332	5.188484123640616
GM12878_STD_R2	chr2	551423	0.09031196454232218	5.741485664273812
GM12878_STD_R2	chr21	68436	0.011208436364493974	4.8352909635809
GM12878_STD_R2	chr22	73760	0.012080400173082524	4.867826795946033
GM12878_STD_R2	chr3	453807	0.07432443277312989	5.6568721476203825
GM12878_STD_R2	chr8	326421	0.05346117550024092	5.513779421395
